"Name","epoch/val_categorical_accuracy (Max)","Notes","Runtime","CACHEING","DELTA","ROTATE_LIMIT","SCALE_LIMIT","SHIFT_LIMIT","TAU","T_max","decay","epochs","max_lr","min_lr","scheduler","train_size","unique_classes","val_size","video_length","epoch/categorical_accuracy","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/val_loss"
"C1_MobileNetV3Small","1","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f8e790142d0>","384","transforms_for_video","","","","","","51","0.4012709884227806","100","0.0001","0.00001","cosineAnnealer","98","7","2","28","0.9489796161651612","99","0.000010341076631448232","0.12371773272752762","0.7791296243667603"
"EfficientNetB0_BSL_augmentation_BO_pseudocolor","0.800000011920929","Model summary : 
None","405","","1","15","0.1","0.1","26","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.8812500238418579","29","0.00002519240115361754","0.30190199613571167","2.195053815841675"
"EfficientNetB0_BSL_augmentation_BO","0.7749999761581421","Model summary : 
None","275","","0","15","0.1","0.1","5","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.8374999761581421","29","0.00002519240115361754","0.3382440209388733","45.7994270324707"
"EfficientNetB0_BSL_augmentation_BO","0.7749999761581421","Model summary : 
None","380","","1","15","0.1","0.1","44","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.8374999761581421","29","0.00002519240115361754","0.34016674757003784","5.72991943359375"
"EfficientNetB0_BSL_augmentation_BO","0.75","Model summary : 
None","484","","47","15","0.1","0.1","239","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7749999761581421","29","0.00002519240115361754","0.427388995885849","1.763759970664978"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.75","Model summary : 
None","462","","0","15","0.1","0.1","56","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.887499988079071","29","0.00002519240115361754","0.30523034930229187","1.5669137239456177"
"EfficientNetB0_BSL_augmentation_BO","0.75","Model summary : 
None","326","","33","15","0.1","0.1","243","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.831250011920929","29","0.00002519240115361754","0.3907574415206909","1.99185311794281"
"EfficientNetB0_BSL_augmentation_BO","0.7250000238418579","Model summary : 
None","322","","14","15","0.1","0.1","162","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.8374999761581421","29","0.00002519240115361754","0.4147551059722901","0.8212836980819702"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.7250000238418579","Model summary : 
None","445","","10","15","0.1","0.1","176","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.8500000238418579","29","0.00002519240115361754","0.30027610063552856","1.384491205215454"
"EfficientNetB0_BSL_augmentation_BO","0.7250000238418579","Model summary : 
None","374","","1","15","0.1","0.1","11","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.824999988079071","29","0.00002519240115361754","0.39250001311302185","5.553321838378906"
"EfficientNetB0_BSL_augmentation_BO","0.7250000238418579","Model summary : 
None","387","","99","15","0.1","0.1","255","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.731249988079071","29","0.00002519240115361754","0.5790051221847534","1.6653974056243896"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.7250000238418579","Model summary : 
None","264","","6","15","0.1","0.1","27","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7875000238418579","29","0.00002519240115361754","0.5107046961784363","2.0744550228118896"
"EfficientNetB0_BSL_augmentation_BO","0.7250000238418579","Model summary : 
None","386","","44","15","0.1","0.1","146","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.737500011920929","29","0.00002519240115361754","0.5043248534202576","1.4091273546218872"
"EfficientNetB0_BSL_augmentation_BO","0.7250000238418579","Model summary : 
None","461","","41","15","0.1","0.1","117","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.706250011920929","29","0.00002519240115361754","0.5255143642425537","1.7417490482330322"
"EfficientNetB0_BSL_augmentation_BO","0.7250000238418579","Model summary : 
None","430","","9","15","0.1","0.1","68","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.831250011920929","29","0.00002519240115361754","0.3810930550098419","1.6582326889038086"
"EfficientNetB0_BSL_augmentation_BO","0.7250000238418579","Model summary : 
None","435","","197","15","0.1","0.1","207","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.737500011920929","29","0.00002519240115361754","0.5486631393432617","0.8426108360290527"
"EfficientNetB0_BSL_augmentation_BO","0.7250000238418579","Model summary : 
None","430","","91","15","0.1","0.1","249","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.737500011920929","29","0.00002519240115361754","0.5326756238937378","1.2038557529449463"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.7250000238418579","Model summary : 
None","378","","92","15","0.1","0.1","165","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7250000238418579","29","0.00002519240115361754","0.5476794242858887","2.790912628173828"
"EfficientNetB0_BSL_augmentation_BO","0.7250000238418579","Model summary : 
None","297","","237","15","0.1","0.1","249","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7437499761581421","29","0.00002519240115361754","0.5499205589294434","1.2997740507125854"
"EfficientNetB0_BSL_augmentation_BO","0.7250000238418579","Model summary : 
None","331","","53","15","0.1","0.1","223","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.8187500238418579","29","0.00002519240115361754","0.44829797744750977","2.804320812225342"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","431","","3","15","0.1","0.1","28","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.824999988079071","29","0.00002519240115361754","0.3899405300617218","3.5194993019104004"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","331","","18","15","0.1","0.1","66","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.737500011920929","29","0.00002519240115361754","0.5362793803215027","2.731053352355957"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","269","","41","15","0.1","0.1","191","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7437499761581421","29","0.00002519240115361754","0.4556662440299988","1.767829656600952"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","384","","3","15","0.1","0.1","19","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.78125","29","0.00002519240115361754","0.46163409948349","1.6158103942871094"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","272","","0","15","0.1","0.1","4","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.84375","29","0.00002519240115361754","0.37417322397232056","2.6955788135528564"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","274","","2","15","0.1","0.1","53","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.893750011920929","29","0.00002519240115361754","0.2983972132205963","0.7124118804931641"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","332","","0","15","0.1","0.1","42","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.912500023841858","29","0.00002519240115361754","0.2445536106824875","2.907100200653076"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","267","","87","15","0.1","0.1","182","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.699999988079071","29","0.00002519240115361754","0.5893044471740723","2.69474196434021"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","513","","24","15","0.1","0.1","85","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.8125","29","0.00002519240115361754","0.40499693155288696","2.2747721672058105"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","270","","162","15","0.1","0.1","174","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.6499999761581421","29","0.00002519240115361754","0.6294523477554321","2.197404146194458"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","276","","156","15","0.1","0.1","158","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7437499761581421","29","0.00002519240115361754","0.5537988543510437","2.572183609008789"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","215","","140","10","0.05","0.1","175","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","35","0.8187500238418579","29","0.00002519240115361754","0.3815297782421112","1.395211100578308"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","489","","47","15","0.1","0.1","73","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.6875","29","0.00002519240115361754","0.6030848622322083","4.114076614379883"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","389","","87","15","0.1","0.1","186","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7562500238418579","29","0.00002519240115361754","0.5662401914596558","1.4965770244598389"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","323","","2","15","0.1","0.1","13","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.824999988079071","29","0.00002519240115361754","0.3864937722682953","1.1568009853363037"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","326","","44","15","0.1","0.1","209","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.6937500238418579","29","0.00002519240115361754","0.5000010132789612","1.76397442817688"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","216","","105","15","0.1","0.1","149","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.65625","29","0.00002519240115361754","0.6217890977859497","1.7952944040298462"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","276","","107","15","0.1","0.1","169","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.7124999761581421","29","0.00002519240115361754","0.5821186900138855","1.1456986665725708"
"EfficientNetB0_BSL_augmentation_BO_MHI","0.699999988079071","Model summary : 
None","389","","33","15","0.1","0.1","140","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.731249988079071","29","0.00002519240115361754","0.4818771481513977","2.9102351665496826"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","330","","8","15","0.1","0.1","38","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.762499988079071","29","0.00002519240115361754","0.4632282853126526","1.1788084506988523"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","220","","18","15","0.1","0.1","54","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.731249988079071","29","0.00002519240115361754","0.544719398021698","2.9139838218688965"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","324","","55","15","0.1","0.1","94","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.675000011920929","29","0.00002519240115361754","0.5890913605690002","2.1527671813964844"
"EfficientNetB0_BSL_augmentation_BO","0.699999988079071","Model summary : 
None","276","","13","15","0.1","0.1","60","31","0.09","30","0.0001","0.000025","cosineAnnealer","160","2","40","20","0.78125","29","0.00002519240115361754","0.4525843560695648","1.3814030885696411"
