Name,epoch/val_categorical_accuracy (Max),unique_classes,Notes,Runtime,T_max,epochs,features,max_lr,min_lr,scheduler,train_size,val_size,video_length,epoch/categorical_accuracy (Max),epoch/epoch,epoch/learning_rate (Min),epoch/loss (Min),epoch/val_loss (Min),epoch/f1_micro_tf,epoch/mcc_metric_tf,epoch/val_f1_micro_tf,epoch/val_mcc_metric_tf
AK-GRU32-LR-Dense256-gelu-fs=15-cls=3,0.946666658,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f26701b4a90>",244,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.9458823800086976,199,2.50181E-05,0.18426717817783356,0.2030252665281296,,,,
AK-BGRU32-LR-Dense256-gelu-cls=3,0.946666658,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f1f84f1cfd0>",454,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.9682353138923644,199,2.50181E-05,0.13971610367298126,0.2234775274991989,,,,
AK-GRU64-LR-Dense256-gelu-cls=3,0.9399999976158142,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f2045f6e450>",233,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.9458823800086976,199,2.50181E-05,0.19765861332416537,0.22561606764793396,,,,
AK-GRU512-LR-Dense256-gelu-cls=3,0.9399999976158142,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f2045c9bdd0>",181,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.974117637,199,2.50181E-05,0.16076284646987915,0.31647416949272156,,,,
AK-BGRU16-LR-Dense256-gelu-cls=3,0.9333333373069764,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f1f9c9c9190>",412,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.9588235020637512,199,2.50181E-05,0.1575443595647812,0.20632922649383545,,,,
AK-LSTM256-LR-Dense128-gelu-fs=15-cls=3,0.9333333373069764,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f26f47d1b90>",204,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.977647066,199,2.50181E-05,0.15057127177715302,0.28299587965011597,,,,
AK-GRU16-LR-Dense256-gelu-fs=15-cls=3,0.9333333373069764,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f2702ff4290>",255,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.9247058629989624,199,2.50181E-05,0.21855056285858152,0.21906405687332153,,,,
AK-GRU256-LR-Dense256-gelu-cls=3,0.9333333373069764,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f2045473a90>",223,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.963529408,199,2.50181E-05,0.16793668270111084,0.2631288170814514,,,,
AK-GRU128-LR-Dense256-gelu-cls=3,0.9333333373069764,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f20451ca8d0>",205,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.9541176557540894,199,2.50181E-05,0.16950775682926178,0.2456774115562439,,,,
Reg: LSTM64-Dense128-Dense256-allfeatures,0.9300000071525574,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fe2a4725dd0>",5064,50,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.9266666769981384,99,1E-04,0.28469613194465637,0.28535524010658264,,,,
LSTM128-Dense128-Dense256-allfeatures,0.9300000071525574,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fdbbc5aa510>",5345,50,100,all,0.0001,0.00005,cosineAnnealer,900,100,60,0.9544444680213928,99,5.00493E-05,0.1929602175951004,0.31746944785118103,,,,
AK-BLSTM64-LR-Dense256-gelu-cls=3,0.9266666769981384,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f1f9cab6c90>",425,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.9764705896377563,199,2.50181E-05,0.15027815103530884,0.2666313052177429,,,,
AK-BGRU64-LR-Dense256-gelu-cls=3,0.9266666769981384,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f1f86792890>",376,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.9717646837234496,199,2.50181E-05,0.14294452965259552,0.28336939215660095,,,,
AK-BLSTM16-LR-Dense256-gelu-cls=3,0.9266666769981384,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f26701969d0>",569,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.9576470851898192,199,2.50181E-05,0.16131260991096497,0.2741733193397522,,,,
AK-LSTM32-LR-Dense256-gelu,0.9266666769981384,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f4434122290>",174,50,100,all,0.0001,0.00005,cosineAnnealer,850,150,20,0.959999979,99,5.00493E-05,0.1880929321050644,0.298284113,,,,
AK-LSTM32-LR-Dense256-fs=15-cls=3,0.9266666769981384,3,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f28de4637d0>",248,101,200,all,0.0001,0.00005,cosineAnnealer,850,150,15,0.9364705681800842,199,2.50181E-05,0.1994933933019638,0.23677164316177368,,,,
