Name,CNN Architecture,Data Augmentation?,epoch/val_categorical_accuracy (Max),Notes,Runtime,CACHEING,ROTATE_LIMIT,SCALE_LIMIT,SHIFT_LIMIT,T_max,decay,epochs,max_lr,min_lr,scheduler,train_size,unique_classes,val_size,video_length,epoch/categorical_accuracy,epoch/epoch,epoch/learning_rate,epoch/loss (Min),epoch/val_loss (Min)
C1_EfficientNetB0_augmentation,EfficientNetB0,Yes,0.6499999761581421,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fe815525e90>",5104,transforms_for_video,10,0.1,0.1,501,0.09,1000,0.0001,0.000025,cosineAnnealer,80,7,20,20,0.925000012,999,2.50029E-05,0.087458454,1.3330596685409546
C1_EfficientNetB0_augmentation,EfficientNetB0,Yes,0.6000000238418579,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fe96a83e690>",2655,transforms_for_video,10,0.1,0.1,251,0.09,500,0.0001,0.00005,cosineAnnealer,80,7,20,20,0.6499999761581421,499,5.00078E-05,0.6201245188713074,1.2984362840652466
C1_ConvNeXt_augmentation,ConvNeXt,Yes,0.550000012,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fe79068fed0>",2807,transforms_for_video,10,0.1,0.1,251,0.09,500,0.0001,0.00005,cosineAnnealer,80,7,20,20,0.925000012,499,5.00078E-05,0.032526027,1.6400601863861084
C1_MobileNetV3Small_2_no_transforms,MobileNetV3Small,Yes,0.550000012,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fdc605ef810>",1530,transforms_for_video_no_transforms,10,0.05,0.1,251,0.09,500,0.00005,0.00001,cosineAnnealer,80,7,20,20,1,499,1.00063E-05,0.002679534,1.892475128173828
C1_Resnet50_augmentation_no_transforms,ResNet50,Yes,0.550000012,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fd33c2e1250>",1604,transforms_for_video_no_transforms,10,0.05,0.1,251,0.09,500,0.00005,0.00001,cosineAnnealer,80,7,20,20,1,499,1.00063E-05,0.000196348,2.2425694465637207
C1_Resnet50_augmentation,ResNet50,Yes,0.5,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fe9107b6090>",2618,transforms_for_video,10,0.1,0.1,251,0.09,500,0.00005,0.00001,cosineAnnealer,80,7,20,20,1,499,1.00063E-05,0.000358349,2.0719048976898193
C1_MobileNetV3Small_no_transforms,MobileNetV3Small,Yes,0.5,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fdd287c4190>",1518,transforms_for_video_no_transforms,10,0.05,0.1,251,0.09,500,0.00005,0.00001,cosineAnnealer,80,7,20,20,0.975000024,499,1.00063E-05,8.6078E-05,2.9186863899230957
C1_MobileNetV3Small,MobileNetV3Small,Yes,0.44999998807907104,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fe61da2c7d0>",2510,transforms_for_video,10,0.1,0.1,251,0.09,500,0.00005,0.00001,cosineAnnealer,80,7,20,20,0.962499976,499,1.00063E-05,0.029642075300216675,2.291816234588623
C2_EfficientNetB0,EfficientNetB0,Yes,0.44999998807907104,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7ff29dee4090>",358,calcMHI-augmentMHI,10,0.1,0.1,501,0.09,1000,0.0001,0.00001,cosineAnnealer,80,7,20,20,0.612500012,999,1.00035E-05,0.7552279829978943,1.749556303024292
C1_MobileNetV3Small,MobileNetV3Small,Yes,0.44999998807907104,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7ff27014a8d0>",2530,transforms_for_video,10,0.1,0.1,251,0.09,500,0.000075,0.00001,cosineAnnealer,80,7,20,20,1,499,1.00102E-05,0.00255219,1.935300588607788
C1_Resnet50_augmentation_no_transforms,ResNet50,No,0.44999998807907104,"Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fdba42c86d0>",406,transforms_for_video_no_transforms,10,0.05,0.1,51,0.09,100,0.00005,0.00001,cosineAnnealer,80,7,20,20,1,99,1.01516E-05,0.002624433,2.177711009979248
